component,action,start,end,duration,status
sorter,gripper_open,1779780632.2300928,1779780635.2391827,3.009082555770874,ok
sorter,move_to_color_sensor,1779780635.2397738,1779780641.7593763,6.519598484039307,ok
sorter,gripper_close,1779780641.7599566,1779780644.7694585,3.0094962120056152,ok
sorter,throwing_block,1779780644.7700431,1779780655.3087335,10.538683652877808,ok
sorter,gripper_close,1779780655.3093643,1779780658.318625,3.0092530250549316,ok
sorter,move_to_home_final,1779780658.319223,1779780667.3585553,9.039325475692749,ok
controller,sorter_total,1779780625.6647546,1779780667.4216754,41.756919622421265,ok
pickplace,move_to_home_initial,1779780667.4659176,1779780673.9906032,6.524680137634277,ok
pickplace,conveyor_belt_running_until_object_detected,1779780673.9995582,1779780674.8590987,0.8595387935638428,ok
pickplace,gripper_open,1779780674.8599699,1779780677.8642037,3.004229784011841,ok
pickplace,move_to_pick,1779780677.8647592,1779780684.3906016,6.525837421417236,ok
pickplace,gripper_close,1779780684.3911223,1779780687.3994126,3.0082831382751465,ok
pickplace,move_to_color_sensor,1779780687.3999925,1779780696.439249,9.039251327514648,ok
pickplace,gripper_open,1779780696.439824,1779780699.4494402,3.009610176086426,ok
pickplace,move_to_home_final,1779780699.4500313,1779780708.4888873,9.038851022720337,ok
pickplace,gripper_close,1779780708.4894567,1779780711.498074,3.008610486984253,ok
controller,pickplace_total,1779780667.4224334,1779780711.5775092,44.155073404312134,ok
controller,colorsensor_total,1779780711.5780146,1779780712.0129147,0.4349019527435303,ok
sorter,move_to_home_initial,1779780712.0558681,1779780718.575587,6.519718170166016,ok
sorter,gripper_open,1779780718.5759153,1779780721.5793164,3.003396511077881,ok
sorter,move_to_color_sensor,1779780721.5796273,1779780728.1059902,6.526355504989624,ok
sorter,gripper_close,1779780728.1065183,1779780731.1148536,3.008329153060913,ok
sorter,throwing_block,1779780731.1154366,1779780741.6537511,10.538307905197144,ok
sorter,gripper_close,1779780741.6543503,1779780744.6582372,3.003880500793457,ok
sorter,move_to_home_final,1779780744.6588085,1779780753.6937954,9.034980297088623,ok
controller,sorter_total,1779780712.013682,1779780753.76353,41.749847173690796,ok
pickplace,move_to_home_initial,1779780753.811725,1779780760.3356318,6.523900032043457,ok
pickplace,conveyor_belt_running_until_object_detected,1779780760.34566,1779780761.3080301,0.962371826171875,ok
pickplace,gripper_open,1779780761.3088684,1779780764.3152757,3.006404161453247,ok
pickplace,move_to_pick,1779780764.3156247,1779780770.8351648,6.519532680511475,ok
pickplace,gripper_close,1779780770.8357449,1779780773.8455951,3.009845733642578,ok
pickplace,move_to_color_sensor,1779780773.8461657,1779780782.8852105,9.039040565490723,ok
pickplace,gripper_open,1779780782.8857946,1779780785.8942747,3.008476495742798,ok
pickplace,move_to_home_final,1779780785.8948371,1779780794.9338934,9.039051294326782,ok
pickplace,gripper_close,1779780794.9344847,1779780797.944241,3.0097548961639404,ok
controller,pickplace_total,1779780753.764898,1779780798.0116365,44.2467405796051,ok
controller,colorsensor_total,1779780798.0118036,1779780798.4467163,0.43491363525390625,ok
sorter,move_to_home_initial,1779780798.4985268,1779780805.0217493,6.523217439651489,ok
sorter,gripper_open,1779780805.0220952,1779780808.0307884,3.008687973022461,ok
sorter,move_to_color_sensor,1779780808.03111,1779780814.5511293,6.52001428604126,ok
sorter,gripper_close,1779780814.5515063,1779780817.5609744,3.009465456008911,ok
sorter,throwing_block,1779780817.5613298,1779780828.0938745,10.532535552978516,ok
